T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.313	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.313	21.375	21.375	20.813	21.125	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.313	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.313	21.375	21.313	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.875	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.313	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.313	21.375	21.375	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.313	21.375	21.313	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.313	21.375	21.375	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.313	21.375	21.375	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.375	21.250	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.875	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.313	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.313	21.375	21.375	20.875	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.500	21.125	21.250	21.313	21.313	21.313	21.375	21.375	20.875	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.875	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.313	21.375	21.375	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.250	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.313	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.313	21.375	21.125	21.438	21.125	21.313	21.313	21.313	21.313	21.375	21.375	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.313	21.375	21.375	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.375	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.313	21.313	21.313	21.313	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.313	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.313	21.375	21.125	21.438	21.125	21.313	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.875	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.500	21.125	21.313	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.500	21.313	21.625	21.250	21.313	21.125	21.438	21.063	21.313	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.563	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.563	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.313	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.313	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.563	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.250	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.250	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.375	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.563	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.375	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.250	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.313	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.625	21.250	21.375	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.250	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.313	21.563	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.250	21.563	21.250	21.313	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.313	21.625	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.375	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.313	21.563	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.563	21.250	21.313	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.375	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.313	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.313	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.563	21.250	21.313	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.125	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.625	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.625	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.375	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.313	21.625	21.250	21.375	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.438	21.250	21.625	21.250	21.375	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.188	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.250	21.250	21.375	21.313	20.813	21.188	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.125	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.188	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.250	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.313	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.625	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.313	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.250	21.625	21.250	21.313	21.125	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.188	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.563	21.188	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.188	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.188	21.313	21.063	21.438	21.063	21.188	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.313	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.750	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.313	21.625	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.625	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.188	21.313	21.063	21.438	21.063	21.250	21.313	21.250	21.250	21.313	21.313	20.750	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.375	21.063	21.250	21.313	21.250	21.250	21.313	21.313	20.750	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.750	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.375	21.063	21.250	21.250	21.313	21.250	21.313	21.250	20.750	21.125	
21.375	21.313	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.625	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.188	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.313	21.625	21.250	21.313	21.063	21.438	21.125	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.375	21.313	21.625	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.375	21.313	20.813	21.125	
21.375	21.250	21.563	21.188	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.375	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.188	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.250	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.188	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.188	21.250	21.250	21.250	21.313	21.313	20.750	21.125	
21.375	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.313	21.313	21.250	21.313	21.313	20.813	21.125	
21.438	21.250	21.563	21.250	21.313	21.063	21.438	21.063	21.250	21.250	21.313	21.250	21.313	21.313	20.813	21.125	
