T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.875	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.875	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.875	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.875	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.875	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.875	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.875	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.875	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.125	22.563	22.938	
23.188	23.063	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.125	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.875	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.125	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.875	23.000	23.063	23.063	23.000	23.125	23.063	22.625	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.063	22.875	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.875	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.125	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.875	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.875	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.875	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.875	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.125	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.125	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.875	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	22.938	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.875	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	22.938	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.313	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.313	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.313	23.000	23.063	22.813	23.250	22.813	23.000	23.000	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.875	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.000	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.875	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.000	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.875	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	22.938	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.313	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.000	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.875	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.000	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.313	22.938	23.063	22.813	23.188	22.813	22.938	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	22.938	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.313	22.938	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.000	23.313	23.000	23.063	22.813	23.250	22.875	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.000	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.875	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.063	22.813	23.188	22.875	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.063	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.125	23.000	23.375	23.000	23.125	22.813	23.188	22.813	22.938	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.125	23.000	23.375	23.000	23.063	22.813	23.188	22.813	22.938	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.125	23.000	23.313	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.313	23.000	23.063	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.063	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.063	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.875	
23.188	23.000	23.375	23.000	23.125	22.813	23.250	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.063	23.063	23.000	23.125	23.063	22.563	22.938	
23.188	23.000	23.375	23.000	23.125	22.813	23.188	22.813	23.000	23.000	23.063	23.000	23.063	23.063	22.563	22.875	
